Rank,School,Town,Type,A-level(%A*),A-level(% A*/A),A-level(%A*/B),A-level_rank,GCSE_(%9/8/7),GCSE_rank,FINAL URL ,corrected name,KS2ASS,ATT8SCR
42,Bishop Vesey's Grammar School,Sutton Coldfield,Selective (100%),23,55.8,81.6,50,73.2,55,137988,Bishop Vesey's Grammar School,114,75.7
48,Sale Grammar School,Sale,Selective (100%),24,53.4,79.5,58,73,56,136498,Sale Grammar School,113.7,75.4
34,Strathearn School,Belfast,Selective (100%),19.4,55.8,85.8,25,73,56,999999,not an English school,#N/A,#N/A
102,Urmston Grammar,Manchester,Selective (100%),-,39,67,171=,73,56,136297,Urmston Grammar Academy,113.5,75.9
57,Beaconsfield High School,Beaconsfield,Selective (100%),17,48.2,77.4,68,72.9,59,140893,Beaconsfield High School,113.3,76.5
89,Aylesbury High School,Aylesbury,Selective (100%),16.1,40.3,70,136,72.6,60,136846,Aylesbury High School,113.9,76.3
109,Rugby High School,Rugby,Selective (100%),12.7,37.7,64.9,198,72.5,61,136595,Rugby High School,113.7,73.9
34,Aquinas Diocesan Grammar School,Belfast,Selective (100%),21.4,59.4,86.1,23=,72.4,62,999999,not an English school,#N/A,#N/A
72,Dartford Grammar School for Girls,Dartford,Selective (100%),12.7,41.5,73,115,72.3,63,144100,Dartford Grammar School for Girls,113.4,75.3
55,Southend High School For Boys,Southend-on-Sea,Selective (100%),11.5,42.7,78.2,62,72.3,63,136443,Southend High School for Boys,113.2,73.9
77,Townley Grammar School,Bexleyheath,Selective (100%),9.5,40.9,71.9,122,72,65,137769,Townley Grammar School,114.5,76.2
96,South Wilts Grammar School,Salisbury,Selective (100%),12.3,42.4,69.2,149,72,65,136391,South Wilts Grammar School,113.3,75
83,Wycombe High School,High Wycombe,Selective (100%),19,45,71,126,72,65,136723,Wycombe High School,113.3,75.5
59,"The Royal Grammar School, High Wycombe",High Wycombe,Selective (100%),16.9,46.1,77.4,68,71.9,68,136484,"The Royal Grammar School, High Wycombe",112,75.1
103,St Bernard's RC Grammar School,Slough,Selective (100%),11.2,33.7,67.4,166=,71.9,68,110084,St Bernard's Catholic Grammar School,113.5,76.7
69,Westcliff High School for Girls,Westcliff-on-Sea,Selective (100%),12.4,42,74.3,97,71.8,70,136490,Westcliff High School for Girls,113.8,76.9
61,Newport Girls' High School,Newport,Selective (100%),21.3,49.3,77.7,67,71.3,71,136516,Newport Girls' High School Academy,114,73.2
84,Devonport High School for Girls,Plymouth,Selective (100%),13.4,42,71.3,125,71.1,72,136588,Devonport High School for Girls,113.7,75.4
66,Wolverhampton Girls' High School,Wolverhampton,Selective (100%),17.6,45.2,75.5,85,70.9,73,140798,Wolverhampton Girls' High School,114.2,74.2
54,Sir William Borlase's Grammar School,Marlow,Selective (100%),17.1,50,79.3,59,70.8,74,136781,Sir William Borlase's Grammar School,113.9,73.8
41,"Our Lady and St Patrick's College, Knock",Belfast,Selective (100%),20,58.3,84.7,32,69.8,75,999999,not an English school,#N/A,#N/A
113,Herschel Grammar School,Slough,Selective (100%),8.4,33.7,66.1,180,69,76,137726,Herschel Grammar School,113.8,75.4
121,"Queen Mary's High School, Walsall",Walsall,Selective (100%),9.8,30.5,64.9,198=,68.7,77,136777,Queen Mary's High School,113.3,72.1
46,Bexley Grammar School,Welling,Selective (100%),12.5,45.2,82.2,48,68.6,78,136369,Bexley Grammar School,114.6,74.7
91,St Ambrose College,Altrincham,Selective (100%),12.1,40.3,72,121,68.1,79,138134,Saint Ambrose College,112,73.7
70,Aylesbury Grammar School,Aylesbury,Selective (100%),22.5,55,75.8,82,67.8,80,136884,Aylesbury Grammar School,113.4,75.7
86,Alcester Grammar School,Alcester,Selective (100%),-,41,73,115,67,81,136622,Alcester Grammar School,113.7,73.2
78,Impington Village College,Impington,Comprehensive,12.2,45.1,74.4,95=,66.9,82,137826,Impington Village College,106.5,57.9
82,Lancaster Girls' Grammar School,Lancaster,Selective (100%),16.3,45.6,73.9,102,66.8,83,136381,Lancaster Girls' Grammar School,113.3,73.7
56,Lumen Christi College,Derry,Selective (100%),17,53.6,80.7,54,66.8,83,999999,not an English school,#N/A,#N/A
90,John Hampden Grammar School,High Wycombe,Selective (100%),15.5,42,72.9,117,66.5,85,136771,John Hampden Grammar School,112.4,73.2
47,"The Skinners' School, Tunbridge Wells",Tunbridge Wells,Selective (100%),26.9,56.6,83.1,40,66,86,140595,The Skinners' School,112.3,74.1
158,The Crypt School,Gloucester,Selective (100%),12.3,34.7,60.8,245,65.7,87,136578,The Crypt School,112.7,71.1
129,"Queen Mary's Grammar School, Walsall",Walsall,Selective (100%),11.6,40.1,65.8,187=,65.4,88,136773,Queen Mary's Grammar School,113.9,74.3
52,Rathmore Grammar School,Belfast,Selective (100%),17.3,52.2,82.5,46,64.8,89,999999,not an English school,#N/A,#N/A
50,St Dominic's Grammar School for Girls,Belfast,Selective (100%),18,50.4,83,41=,64.5,90,999999,not an English school,#N/A,#N/A
147,Bournemouth School,Bournemouth,Selective (100%),14.7,41.6,62.7,219,64.1,91,137452,Bournemouth School,113,73.3
87,Bournemouth School for Girls,Bournemouth,Selective (100%),17.5,44.2,74.5,93,64,92,136996,Bournemouth School for Girls,113.3,71.7
118,Sir Henry Floyd Grammar School,Aylesbury,Selective (100%),13.6,38.7,67.9,157,63.8,93,136845,Sir Henry Floyd Grammar School,113,70.8
107,"Rainey Endowed School, Magherafelt",Magherafelt,Selective (100%),10.2,36.7,69.9,140,63.8,93,999999,not an English school,#N/A,#N/A
85,Bishop Wordsworth's School,Salisbury,Selective (100%),18.7,46.4,74.9,91,63.4,95,136500,Bishop Wordsworth's Church of England Grammar School,113.1,72.3
