year,record,primary_area,LA,STTS,grammar_req,EthCode,review
2017,206,!,Buckinghamshire,37,NotYes,WHB,AppendedBlankField
2017,207,!,Buckinghamshire,41,NotYes,APK,AppendedBlankField
2017,208,!,Buckinghamshire,40,NotYes,APK,AppendedBlankField
2017,209,!,Buckinghamshire,102,NotYes,WHB,AppendedBlankField
2017,210,!,Buckinghamshire,55,NotYes,APK,AppendedBlankField
2017,211,!,Buckinghamshire,97,NotYes,APK,AppendedBlankField
2017,212,!,Buckinghamshire,72,NotYes,CHE,AppendedBlankField
2017,213,!,Buckinghamshire,102,NotYes,WHB,AppendedBlankField
2017,214,!,Buckinghamshire,56,NotYes,MWB,AppendedBlankField
2017,215,!,Buckinghamshire,146,Y,WHB,AppendedBlankField
2017,216,!,Buckinghamshire,58,NotYes,WHB,AppendedBlankField
2017,217,!,Buckinghamshire,105,NotYes,WHB,AppendedBlankField
2017,218,!,Buckinghamshire,41,NotYes,WHB,AppendedBlankField
2017,219,!,Buckinghamshire,39,NotYes,APK,AppendedBlankField
2017,220,!,Buckinghamshire,75,NotYes,WHB,AppendedBlankField
2017,221,!,Buckinghamshire,86,NotYes,BLF,AppendedBlankField
2017,222,!,Buckinghamshire,91,NotYes,MBA,AppendedBlankField
2017,223,!,Buckinghamshire,52,NotYes,BLB,AppendedBlankField
2017,224,!,Buckinghamshire,47,NotYes,WHB,AppendedBlankField
2017,225,!,Buckinghamshire,141,Y,AIN,AppendedBlankField
2017,226,!,Buckinghamshire,84,NotYes,APK,AppendedBlankField
2017,227,!,Buckinghamshire,47,NotYes,APK,AppendedBlankField
2017,228,!,Buckinghamshire,44,NotYes,WHB,AppendedBlankField
2017,229,!,Buckinghamshire,82,NotYes,WHB,No
2017,230,!,Buckinghamshire,41,NotYes,APK,AppendedBlankField
2017,231,!,Buckinghamshire,77,NotYes,MBA,AppendedBlankField
2017,232,!,Buckinghamshire,109,NotYes,WHB,AppendedBlankField
2017,233,!,Buckinghamshire,43,NotYes,WHB,AppendedBlankField
2017,234,!,Buckinghamshire,131,Y,WHB,AppendedBlankField
2017,235,!,Buckinghamshire,112,Y,WHB,Yes
2017,236,!,Buckinghamshire,88,NotYes,WHB,AppendedBlankField
2017,237,!,Buckinghamshire,41,NotYes,WHB,AppendedBlankField
2017,238,!,Buckinghamshire,41,NotYes,WHB,AppendedBlankField
2017,239,!,Buckinghamshire,49,NotYes,APK,AppendedBlankField
2017,240,!,Buckinghamshire,39,NotYes,WHB,AppendedBlankField
2017,241,!,Buckinghamshire,47,NotYes,WHB,AppendedBlankField
2017,242,!,Buckinghamshire,48,NotYes,WHB,AppendedBlankField
2017,243,!,Buckinghamshire,97,NotYes,WHB,AppendedBlankField
2017,244,!,Buckinghamshire,37,NotYes,WHB,AppendedBlankField
2017,245,!,Buckinghamshire,34,NotYes,APK,AppendedBlankField
2017,246,!,Buckinghamshire,41,NotYes,WHA,AppendedBlankField
2017,247,!,Out,125,Y,AppendedBlankField,AppendedBlankField
2017,248,!,Out,98,NotYes,AIN,AppendedBlankField
2017,249,!,Out,142,Y,AppendedBlankField,AppendedBlankField
2017,250,!,Out,139,Y,AIN,AppendedBlankField
2017,251,!,Out,95,NotYes,REF,AppendedBlankField
2017,252,!,Out,128,Y,AppendedBlankField,AppendedBlankField
